Depth.cm,ka.BP,counts,Acc.rate.yr.cm,CHAR
860,11.063,10,4,1.67
861,11.067,9,6,1.13
862,11.073,8,5,1.14
863,11.078,5,5,0.71
864,11.083,7,5,1.17
865,11.088,5,6,1
866,11.094,4,6,0.5
867,11.1,1,5,0.14
868,11.105,2,4,0.22
869,11.109,5,5,0.71
870,11.114,7,6,1.4
871,11.12,4,5,0.8
872,11.125,5,4,0.83
873,11.129,8,5,1.6
874,11.134,5,5,1
875,11.139,4,5,0.57
876,11.144,6,4,1.2
877,11.148,7,5,1.17
878,11.153,7,4,1.17
879,11.157,5,5,0.83
880,11.162,7,3,1.75
881,11.165,4,4,0.8
882,11.169,4,5,0.8
883,11.174,5,5,0.83
884,11.179,4,4,0.67
885,11.183,8,6,2
886,11.189,5,4,0.71
887,11.193,10,6,1.67
888,11.199,2,5,0.33
889,11.204,1,4,0.17
890,11.208,11,5,1.83
891,11.213,10,6,1.43
892,11.219,7,4,1.4
893,11.223,4,5,0.8
894,11.228,5,5,1
895,11.233,6,6,1
896,11.239,9,5,1.5
897,11.244,6,6,1.2
898,11.25,8,6,0.89
899,11.256,5,7,0.71
900,11.263,8,11,0.89
901,11.274,7,11,0.88
902,11.285,5,12,0.56
903,11.297,4,12,0.4
904,11.309,7,14,0.64
905,11.323,8,15,0.73
906,11.338,5,19,0.42
907,11.357,6,19,0.55
908,11.376,7,17,0.64
909,11.393,7,18,0.54
910,11.411,6,18,0.5
911,11.429,8,17,0.73
912,11.446,7,16,0.58
913,11.462,7,16,0.58
914,11.478,5,18,0.31
915,11.496,5,17,0.38
916,11.513,7,17,0.37
917,11.53,4,17,0.29
918,11.547,4,14,0.21
919,11.561,2,17,0.12
920,11.578,1,16,0.06
921,11.594,0,15,0
922,11.609,3,16,0.2
923,11.625,4,16,0.29
924,11.641,2,16,0.17
925,11.657,1,15,0.08
926,11.672,2,14,0.15
927,11.686,4,14,0.33
928,11.7,2,15,0.15
929,11.715,1,15,0.07
930,11.73,4,18,0.25
931,11.748,5,22,0.33
932,11.77,6,18,0.32
933,11.788,4,21,0.24
934,11.809,0,21,0
935,11.83,0,19,0
936,11.849,0,21,0
937,11.87,0,22,0
938,11.892,0,24,0
939,11.916,8,25,0.38
940,11.941,9,20,0.47
941,11.961,7,23,0.29
942,11.984,8,23,0.4
943,12.007,8,24,0.36
944,12.031,8,22,0.38
945,12.053,7,23,0.39
946,12.076,5,24,0.24
947,12.1,4,21,0.24
948,12.121,1,24,0.05
949,12.145,2,22,0.1
950,12.167,8,20,0.47
951,12.187,5,19,0.26
952,12.206,6,22,0.3
953,12.228,7,22,0.39
954,12.25,11,21,0.55
955,12.271,10,19,0.59
956,12.29,7,19,0.41
957,12.309,7,18,0.41
958,12.327,6,17,0.33
959,12.344,7,21,0.41
960,12.365,8,16,0.47
961,12.381,5,17,0.28
962,12.398,7,15,0.35
963,12.413,8,17,0.47
964,12.43,9,17,0.53
965,12.447,10,15,0.53
966,12.462,11,16,0.55
967,12.478,12,16,0.63
968,12.494,15,16,0.79
969,12.51,10,16,0.59
970,12.526,10,17,0.53
971,12.543,7,16,0.39
972,12.559,9,16,0.47
973,12.575,8,17,0.42
974,12.592,8,14,0.4
975,12.606,6,17,0.32
976,12.623,7,17,0.41
977,12.64,8,16,0.4
978,12.656,15,18,0.71
979,12.674,8,17,0.44
980,12.691,10,17,0.43
981,12.708,7,17,0.33
982,12.725,6,17,0.29
983,12.742,7,20,0.33
984,12.762,6,16,0.27
985,12.778,8,19,0.4
986,12.797,5,19,0.23
987,12.816,2,19,0.11
988,12.835,7,19,0.33
989,12.854,5,18,0.24
990,12.872,6,5,1
991,12.877,3,5,0.5
992,12.882,4,5,0.67
993,12.887,1,5,0.14
994,12.892,2,5,0.33
995,12.897,5,5,0.63
996,12.902,8,5,1.33
997,12.907,9,5,1.29
998,12.912,10,5,1.67
999,12.917,11,4,1.57
1000,12.921,10,5,1.43
1001,12.926,8,5,1.14
1002,12.931,7,5,1
1003,12.936,5,5,0.71
1004,12.941,7,6,1.17
1005,12.947,8,5,1
1006,12.952,4,7,0.57
1007,12.959,7,6,0.88
1008,12.965,8,5,1
1009,12.97,4,6,0.57
1010,12.976,5,8,0.63
1011,12.984,9,5,1.13
1012,12.989,8,6,0.89
1013,12.995,5,6,0.63
1014,13.001,7,5,0.78
1015,13.006,8,5,0.8
1016,13.011,9,7,1
1017,13.018,8,5,1
1018,13.023,7,5,0.88
1019,13.028,8,6,0.89
1020,13.034,5,3,1.25
1021,13.037,4,4,2
1022,13.041,4,2,1
1023,13.043,5,3,1.67
1024,13.046,3,4,0.75
1025,13.05,6,4,3
1026,13.054,1,3,0.25
1027,13.057,2,3,0.67
1028,13.06,5,4,1.67
1029,13.064,7,3,2.33
1030,13.067,5,4,1.67
1031,13.071,8,3,2
1032,13.074,9,4,3
1033,13.078,8,4,2.67
1034,13.082,0,4,0
1035,13.086,0,3,0
1036,13.089,0,4,0
1037,13.093,0,3,0
1038,13.096,0,4,0
1039,13.1,7,3,2.33
1040,13.103,4,4,1.33
1041,13.107,8,3,2
1042,13.11,5,3,1.67
1043,13.113,9,3,2.25
1044,13.116,8,3,2.67
1045,13.119,6,3,3
1046,13.122,4,4,1
1047,13.126,2,3,0.67
1048,13.129,0,3,0
1049,13.132,0,4,0
1050,13.136,2,3,0.67
1051,13.139,0,3,0
1052,13.142,0,2,0
1053,13.144,1,3,0.33
1054,13.147,0,4,0
1055,13.151,5,3,1.67
1056,13.154,0,3,0
1057,13.157,0,4,0
1058,13.161,0,3,0
1059,13.164,0,4,0
1060,13.168,0,3,0
1061,13.171,15,3,3.75
1062,13.174,12,3,4
1063,13.177,10,4,2.5
1064,13.181,9,3,3
1065,13.184,6,4,2
1066,13.188,3,3,1
1067,13.191,11,3,2.75
1068,13.194,21,3,7
1069,13.197,36,4,12
1070,13.201,21,3,5.25
1071,13.204,40,3,20
1072,13.207,19,4,6.33
1073,13.211,28,3,9.33
1074,13.214,32,4,8
1075,13.218,40,2,13.33
1076,13.22,24,4,8
1077,13.224,32,3,8
1078,13.227,21,3,5.25
1079,13.23,18,4,6
1080,13.234,24,3,8
1081,13.237,30,3,10
1082,13.24,32,4,10.67
1083,13.244,24,2,8
1084,13.246,17,3,5.67
1085,13.249,25,3,8.33
1086,13.252,23,3,7.67
1087,13.255,15,3,5
1088,13.258,10,3,3.33
1089,13.261,9,2,3
1090,13.263,8,3,2.67
1091,13.266,2,3,0.67
1092,13.269,0,3,0
1093,13.272,0,4,0
1094,13.276,2,3,0.67
1095,13.279,1,3,0.33
1096,13.282,0,3,0
1097,13.285,0,4,0
1098,13.289,1,3,0.25
1099,13.292,0,3,0
1100,13.295,5,3,1.25
1101,13.298,3,4,1
1102,13.302,4,3,1
1103,13.305,2,3,0.67
1104,13.308,1,3,0.25
1105,13.311,0,3,0
1106,13.314,0,3,0
1107,13.317,0,3,0
1108,13.32,0,3,0
1109,13.323,0,4,0
1110,13.327,0,6,0
1111,13.333,0,6,0
1112,13.339,0,6,0
1113,13.345,0,6,0
1114,13.351,3,6,0.6
1115,13.357,2,6,0.4
1116,13.363,1,6,0.2
1117,13.369,0,6,0
1118,13.375,2,6,0.4
1119,13.381,1,5,0.25
1120,13.386,2,6,0.4
1121,13.392,4,6,0.8
1122,13.398,2,6,0.4
1123,13.404,0,6,0
1124,13.41,0,6,0
1125,13.416,0,6,0
1126,13.422,1,6,0.2
1127,13.428,2,6,0.4
1128,13.434,4,5,0.8
1129,13.439,5,6,1.25
1130,13.445,6,6,1.2
1131,13.451,7,6,1.75
1132,13.457,8,5,2
1133,13.462,0,6,0
1134,13.468,0,5,0
1135,13.473,0,5,0
1136,13.478,0,6,0
1137,13.484,0,5,0
1138,13.489,0,6,0
1139,13.495,6,5,1.2
1140,13.5,9,7,1.29
1141,13.507,7,8,0.88
1142,13.515,9,8,1.29
1143,13.523,12,8,1.5
1144,13.531,14,7,1.56
1145,13.538,15,8,1.88
1146,13.546,10,7,1.43
1147,13.553,8,7,1
1148,13.56,11,9,1.38
1149,13.569,14,7,1.75
1150,13.576,14,7,2.33
1151,13.583,21,8,2.63
1152,13.591,17,7,2.13
1153,13.598,7,8,1
1154,13.606,9,7,1.5
1155,13.613,5,8,0.63
1156,13.621,9,6,1.29
1157,13.627,10,7,1.43
1158,13.634,1,8,0.14
1159,13.642,6,6,1
1160,13.648,7,9,1
1161,13.657,5,7,0.71
1162,13.664,4,7,0.57
1163,13.671,4,6,0.57
1164,13.677,3,7,0.43
1165,13.684,4,7,0.5
1166,13.691,2,7,0.29
1167,13.698,2,7,0.29
1168,13.705,5,6,0.83
1169,13.711,8,7,1.14
1170,13.718,4,7,0.67
1171,13.725,3,7,0.43
1172,13.732,15,8,2.14
1173,13.74,10,7,1.25
1174,13.747,21,8,3
1175,13.755,30,9,4.29
1176,13.764,20,7,2.86
1177,13.771,15,8,1.67
1178,13.779,10,8,1.25
1179,13.787,8,7,1.14
1180,13.794,9,8,1.29
1181,13.802,5,8,0.63
1182,13.81,7,7,0.78
1183,13.817,8,8,1
1184,13.825,9,8,1
1185,13.833,9,8,1.13
1186,13.841,8,8,0.89
1187,13.849,5,7,0.63
1188,13.856,6,9,0.75
1189,13.865,7,7,1
1190,13.872,13,8,1.63
1191,13.88,10,7,1.25
1192,13.887,8,8,1
1193,13.895,7,8,0.88
1194,13.903,8,8,1.14
1195,13.911,11,7,1.38
1196,13.918,21,7,2.63
1197,13.925,10,8,1.43
1198,13.933,9,6,1.29
1199,13.939,5,7,0.63
1200,13.946,8,7,1.14
1201,13.953,9,7,1.5
1202,13.96,0,7,0
1203,13.967,0,8,0
1204,13.975,0,7,0
1205,13.982,0,7,0
1206,13.989,0,8,0
1207,13.997,0,7,0
1208,14.004,0,8,0
1209,14.012,0,7,0
1210,14.019,0,7,0
1211,14.026,0,6,0
1212,14.032,0,8,0
1213,14.04,0,8,0
1214,14.048,0,7,0
1215,14.055,0,7,0
1216,14.062,0,7,0
1217,14.069,0,8,0
1218,14.077,0,8,0
1219,14.085,0,7,0
1220,14.092,0,9,0
1221,14.101,0,7,0
1222,14.108,0,7,0
1223,14.115,0,8,0
1224,14.123,0,7,0
1225,14.13,0,7,0
1226,14.137,0,8,0
1227,14.145,0,6,0
1228,14.151,0,8,0
1229,14.159,0,7,0
1230,14.166,0,6,0
1231,14.172,0,5,0
1232,14.177,0,7,0
1233,14.184,0,6,0
1234,14.19,0,4,0
1235,14.194,0,5,0
1236,14.199,0,6,0
1237,14.205,0,4,0
1238,14.209,0,7,0
1239,14.216,0,4,0
1240,14.22,0,5,0
1241,14.225,0,4,0
1242,14.229,0,5,0
1243,14.234,0,4,0
1244,14.238,0,4,0
1245,14.242,0,5,0
1246,14.247,0,5,0
1247,14.252,0,6,0
1248,14.258,0,4,0
1249,14.262,0,5,0
1250,14.267,0,5,0
1251,14.272,0,4,0
1252,14.276,0,4,0
1253,14.28,0,5,0
1254,14.285,0,5,0
1255,14.29,0,4,0
1256,14.294,0,5,0
1257,14.299,0,4,0
1258,14.303,0,5,0
1259,14.308,0,4,0
1260,14.312,0,6,0
1261,14.318,0,6,0
1262,14.324,0,5,0
1263,14.329,0,5,0
1264,14.334,0,6,0
1265,14.34,0,5,0
1266,14.345,0,5,0
1267,14.35,0,6,0
1268,14.356,0,6,0
1269,14.362,0,5,0
1270,14.367,0,5,0
1271,14.372,0,4,0
1272,14.376,0,5,0
1273,14.381,0,6,0
1274,14.387,0,5,0
1275,14.392,0,5,0
1276,14.397,0,5,0
1277,14.402,0,5,0
1278,14.407,0,6,0
1279,14.413,0,6,0
1280,14.419,0,5,0
1281,14.424,0,5,0
1282,14.429,0,4,0
1283,14.433,0,5,0
1284,14.438,0,6,0
1285,14.444,0,4,0
1286,14.448,0,5,0
1287,14.453,0,6,0
1288,14.459,0,4,0
1289,14.463,0,6,0
1290,14.469,0,5,0
1291,14.474,0,5,0
1292,14.479,0,5,0
1293,14.484,0,6,0
1294,14.49,0,7,0
1295,14.497,0,5,0
1296,14.502,0,5,0
1297,14.507,0,6,0
1298,14.513,0,7,0
1299,14.52,0,6,0
1300,14.526,0,5,0
1301,14.531,0,6,0
1302,14.537,0,5,0
1303,14.542,0,6,0
1304,14.548,0,6,0
1305,14.554,0,4,0
1306,14.558,0,7,0
1307,14.565,0,6,0
1308,14.571,0,6,0
1309,14.577,0,5,0
1310,14.582,0,7,0
1311,14.589,0,5,0
1312,14.594,0,7,0
1313,14.601,0,5,0
1314,14.606,0,6,0
1315,14.612,0,6,0
1316,14.618,0,6,0
1317,14.624,0,4,0
1318,14.628,0,6,0
1319,14.634,0,5,0
1320,14.639,0,5,0
1321,14.644,0,5,0
1322,14.649,0,6,0
1323,14.655,0,5,0
1324,14.66,0,6,0
1325,14.666,0,5,0
1326,14.671,0,5,0
1327,14.676,0,4,0
1328,14.68,0,5,0
1329,14.685,0,7,0
1330,14.692,0,4,0
1331,14.696,0,7,0
1332,14.703,0,5,0
1333,14.708,0,7,0
1334,14.715,0,5,0
1335,14.72,0,5,0
1336,14.725,0,5,0
1337,14.73,0,5,0
1338,14.735,0,6,0
1339,14.741,0,5,0
1340,14.746,0,7,0
1341,14.753,0,6,0
1342,14.759,0,5,0
1343,14.764,0,6,0
1344,14.77,0,5,0
1345,14.775,0,6,0
1346,14.781,0,5,0
1347,14.786,0,5,0
1348,14.791,0,5,0
1349,14.796,0,5,0
1350,14.801,0,6,0
1351,14.807,0,6,0
1352,14.813,0,5,0
1353,14.818,0,5,0
1354,14.823,0,5,0
1355,14.828,0,5,0
1356,14.833,0,6,0
1357,14.839,0,6,0
1358,14.845,0,6,0
1359,14.851,0,6,0
1360,14.857,0,4,0
1361,14.861,0,6,0
1362,14.867,0,4,0
1363,14.871,0,6,0
1364,14.877,0,6,0
1365,14.883,0,6,0
1366,14.889,0,6,0
1367,14.895,0,5,0
1368,14.9,0,5,0
1369,14.905,0,6,0
1370,14.911,0,5,0
1371,14.916,0,6,0
1372,14.922,0,5,0
1373,14.927,0,7,0
1374,14.934,0,6,0
1375,14.94,0,5,0
1376,14.945,0,5,0
1377,14.95,0,5,0
1378,14.955,0,6,0
1379,14.961,0,6,0
1380,14.967,0,4,0
1381,14.971,0,6,0
1382,14.977,0,4,0
1383,14.981,0,5,0
1384,14.986,0,6,0
1385,14.992,0,5,0
1386,14.997,0,5,0
1387,15.002,0,5,0
1388,15.007,0,6,0
1389,15.013,0,5,0
1390,15.018,0,6,0
1391,15.024,0,5,0
1392,15.029,0,6,0
1393,15.035,0,5,0
1394,15.04,0,7,0
1395,15.047,0,6,0
1396,15.053,0,5,0
1397,15.058,0,7,0
1398,15.065,0,4,0
1399,15.069,0,5,0
1400,15.074,0,6,0
1401,15.08,0,6,0
1402,15.086,0,5,0
1403,15.091,0,6,0
1404,15.097,0,5,0
1405,15.102,0,7,0
1406,15.109,0,5,0
1407,15.114,0,6,0
1408,15.12,0,6,0
1409,15.126,0,4,0
1410,15.13,0,7,0
1411,15.137,0,5,0
1412,15.142,0,6,0
1413,15.148,0,5,0
1414,15.153,0,7,0
1415,15.16,0,5,0
1416,15.165,0,4,0
1417,15.169,0,6,0
1418,15.175,0,4,0
1419,15.179,0,6,0
1420,15.185,0,6,0
1421,15.191,0,5,0
1422,15.196,0,5,0
1423,15.201,0,6,0
1424,15.207,0,6,0
1425,15.213,0,6,0
1426,15.219,0,6,0
1427,15.225,0,6,0
1428,15.231,0,6,0
1429,15.237,0,4,0
1430,15.241,0,5,0
1431,15.246,0,6,0
1432,15.252,0,5,0
1433,15.257,0,6,0
1434,15.263,0,6,0
1435,15.269,0,5,0
1436,15.274,0,5,0
1437,15.279,0,6,0
1438,15.285,0,5,0
1439,15.29,0,6,0
1440,15.296,0,4,0
1441,15.3,0,6,0
1442,15.306,0,5,0
1443,15.311,0,5,0
1444,15.316,0,6,0
1445,15.322,0,5,0
1446,15.327,0,7,0
1447,15.334,0,5,0
1448,15.339,0,5,0
1449,15.344,8,6,1.33
1450,15.35,4,6,0.67
1451,15.356,5,5,1
1452,15.361,2,6,0.33
1453,15.367,1,4,0.17
1454,15.371,7,5,1.75
1455,15.376,8,6,1.6
1456,15.382,3,6,0.6
1457,15.388,5,6,1
1458,15.394,11,5,1.57
1459,15.399,10,6,1.67
1460,15.405,9,6,1.8
1461,15.411,8,5,1.6
1462,15.416,4,6,0.67
1463,15.422,7,6,1.4
1464,15.428,12,8,2
1465,15.436,10,7,1.67
1466,15.443,12,4,2.4
1467,15.447,10,6,1.67
1468,15.453,13,6,2.17
1469,15.459,14,5,2.33
1470,15.464,13,6,3.25
1471,15.47,12,4,3
1472,15.474,10,5,2.5
1473,15.479,13,5,2.6
1474,15.484,14,4,3.5
1475,15.488,34,4,6.8
1476,15.492,31,5,6.2
1477,15.497,30,4,6
1478,15.501,38,5,7.6
1479,15.506,31,5,6.2
1480,15.511,35,5,7
1481,15.516,33,5,6.6
1482,15.521,27,4,6.75
1483,15.525,25,5,5
1484,15.53,14,5,2.33
1485,15.535,13,5,3.25
