age (kyr BP),depth (mm),d13C (permil)
7.99,490.68,-7.52
7.993,490.89,-7.55
8.003,491.66,-7.32
8.004,491.68,-7.31
8.014,492.43,-7.32
8.017,492.68,-7.27
8.024,493.2,-7.31
8.031,493.68,-7.37
8.035,493.97,-7.39
8.044,494.68,-7.5
8.045,494.75,-7.5
8.056,495.52,-7.57
8.066,496.29,-7.63
8.071,496.68,-7.48
8.077,497.06,-7.38
8.085,497.68,-7.52
8.087,497.83,-7.53
8.097,498.61,-7.74
8.098,498.68,-7.75
8.108,499.38,-7.44
8.112,499.68,-7.46
8.118,500.15,-7.61
8.125,500.68,-7.53
8.129,500.92,-7.45
8.139,501.68,-7.55
8.139,501.7,-7.55
8.15,502.47,-7.48
8.153,502.68,-7.46
8.16,503.24,-7.5
8.166,503.68,-7.61
8.171,504.01,-7.52
8.18,504.68,-7.36
8.181,504.78,-7.37
8.191,505.56,-7.35
8.193,505.68,-7.35
8.207,506.68,-7.51
8.217,507.42,-7.52
8.22,507.68,-7.49
8.234,508.68,-7.4
8.242,509.29,-7.29
8.247,509.68,-7.3
8.261,510.68,-7.51
8.267,511.16,-7.58
8.274,511.68,-7.64
8.288,512.68,-7.82
8.293,513.03,-7.78
8.301,513.68,-7.59
8.315,514.68,-7.51
8.318,514.9,-7.54
8.328,515.68,-7.79
8.342,516.68,-7.77
8.343,516.77,-7.77
8.355,517.68,-7.63
8.368,518.64,-7.58
8.369,518.68,-7.58
8.383,519.68,-7.45
8.394,520.51,-7.78
8.396,520.68,-7.85
8.41,521.68,-7.97
8.419,522.37,-7.87
8.423,522.68,-7.84
8.437,523.68,-7.68
8.444,524.24,-7.73
8.45,524.68,-7.74
8.464,525.68,-7.7
8.47,526.11,-7.58
8.477,526.68,-7.49
8.491,527.68,-7.62
8.495,527.98,-7.67
8.504,528.68,-7.71
8.518,529.68,-7.62
8.52,529.85,-7.62
8.531,530.68,-7.63
8.545,531.68,-7.76
8.545,531.72,-7.76
8.558,532.68,-7.71
8.571,533.59,-7.44
8.572,533.68,-7.42
8.585,534.68,-7.61
8.596,535.45,-7.53
8.599,535.68,-7.5
8.613,536.68,-7.64
8.621,537.32,-7.67
