"depth","age","Alchemilla","Chenopodiaceae","Artemisia","Cichoroideae","Asteroideae","Carduus","Asteraceae","Vernonia","Polygonum","Tribulus","Galium","Brassicaceae","Caryophylaceae","Swertia","Senecio","Erica","Hypericum","Anthospermum","Cerastium","Apiaceae","Podocarpus","Euclea","Hagenia","Juniperus","Myrsine","Rapanea","Rosa","Schefflera","Brucea","Sapotaceae","Iridaceae","Anthyllis","Maytenus","Buxus","Psydrax","Celastraceae","Celtis","Dodonaea","Ekebergia","Ephedra","Ficus","Ilex","Clematis","Myrica","Hypoestes","Ziziphus","Acanthus","Allophylus","Acacia","Combretum","Commiphora","Cussonia","Dobera","Lannea","Macaranga","Olea","Jasminum","Phoenix","Rhus","Securinega","Teclea","Zanthoxylum","Cassia","Capparidaceae","Acalypha","Euphorbia","Euphorbiacea","Phyllantus","Tamarindus","Alchornea","Aloe","Asphodellus","Leguminosae","Rubiaceae","Blepharis","Justicia","Heliotropium","Kohautia","Indigofera","Lamiaceae","Cerealia","Plantago","Planceolata","Poaceae","Rumex","Solanum","Urticaceae","Ricinus","Saussurea","Monoletes","Triletes","Thalictrum","Typha","Cyperaceae","Ranunculus","Callytriche","herb","shrub","tree","hygrophyte","hydrophyte","algae.spores"
85,0.531,0.280898876404494,0.421348314606742,0,0,2.3876404494382,3.65168539325843,1.40449438202247,0,0.421348314606742,0,0,0.280898876404494,0,0,0.140449438202247,4.49438202247191,0.702247191011236,1.26404494382022,0,0.702247191011236,13.4831460674157,0.140449438202247,3.08988764044944,23.7359550561798,0.140449438202247,0,0.421348314606742,0,0,0,0.561797752808989,0.140449438202247,0,0,0,0,0.140449438202247,2.80898876404494,0,0,0,0.140449438202247,0,0.140449438202247,0,0,0,0,0,0.280898876404494,0.140449438202247,0,0.280898876404494,0.280898876404494,0,4.07303370786517,0.140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561797752808989,0.140449438202247,0,0.140449438202247,0,0,0,0.561797752808989,0.280898876404494,0.702247191011236,0.561797752808989,29.6348314606742,0.702247191011236,0,0.280898876404494,0,0.140449438202247,0.377643504531722,0,0.0755287009063444,0.0755287009063444,1.3595166163142,0.151057401812689,0,37.9411764705882,9.11764705882353,52.9411764705882,13.6363636363636,86.3636363636364,44.1842900302115
87,0.566,0.985915492957746,0.422535211267606,0.28169014084507,0,3.23943661971831,3.23943661971831,1.83098591549296,0,0.140845070422535,0,0.140845070422535,0.140845070422535,0.704225352112676,0.140845070422535,0,3.94366197183099,0.422535211267606,0.422535211267606,0,0,13.8028169014085,0.140845070422535,2.53521126760563,20.2816901408451,0,0,0,0,0,0,0.704225352112676,0.140845070422535,0.140845070422535,0,0,0,0,2.3943661971831,0.140845070422535,0,0,0,0,0.28169014084507,0,0,0.140845070422535,0,0,0.28169014084507,0,0.563380281690141,0.140845070422535,0,0.28169014084507,5.77464788732394,0.140845070422535,0,0,0,0,0,0.28169014084507,0,0,0,0,0,0,0.140845070422535,0.28169014084507,0,0.563380281690141,0.140845070422535,0.140845070422535,0.28169014084507,0.140845070422535,0.140845070422535,0,0.422535211267606,0.28169014084507,1.26760563380282,0.563380281690141,30.2816901408451,0.563380281690141,0,0.422535211267606,0,0.140845070422535,0.190114068441065,0.380228136882129,0,0,1.23574144486692,0.190114068441065,0,39.8826979472141,9.67741935483871,50.4398826979472,13.3333333333333,86.6666666666667,30.5133079847909
91,0.638,1.49925037481259,0,0.449775112443778,0.149925037481259,0.599700149925038,2.84857571214393,0.749625187406297,0,0.599700149925038,0,0,0.149925037481259,0,0.149925037481259,0,6.59670164917541,0.749625187406297,0.149925037481259,0,0.449775112443778,9.44527736131934,0,3.29835082458771,21.5892053973013,0.149925037481259,0,0,0,0,0,0.449775112443778,0.149925037481259,0,0,0,0,0.149925037481259,2.09895052473763,0,0,0.149925037481259,0,0,0,0,0,0.149925037481259,0,0,0.749625187406297,0.449775112443778,0.599700149925038,0.299850074962519,0.449775112443778,0.449775112443778,5.24737631184408,0.149925037481259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149925037481259,0,0.299850074962519,0,0.149925037481259,0,0,0.149925037481259,0.149925037481259,0.599700149925038,0.599700149925038,0.749625187406297,0.749625187406297,34.6326836581709,0,0,0.449775112443778,0,0.149925037481259,0.249687890137328,0.124843945068664,0,0.124843945068664,0.624219725343321,0,0,43.9807383627608,6.42054574638844,49.5987158908507,0,100,15.605493133583
93,0.677,0.765696784073507,0.459418070444104,0.153139356814701,0.153139356814701,1.07197549770291,3.52220520673813,1.99081163859112,0,0.306278713629403,0,0,0,0,0,0.612557427258806,8.26952526799387,0.612557427258806,1.37825421133231,0,0.153139356814701,9.95405819295559,0,2.29709035222052,25.5742725880551,0.153139356814701,0,0,0,0,0,0.306278713629403,0.153139356814701,0,0,0,0,0.306278713629403,2.45022970903522,0,0,0,0,0,0.306278713629403,0,0,0,0,0,0.306278713629403,0.153139356814701,0.765696784073507,0.153139356814701,0,0.612557427258806,3.98162327718224,0.153139356814701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306278713629403,0,0.459418070444104,0,0.153139356814701,0,0.153139356814701,0,0.153139356814701,0.306278713629403,0.306278713629403,0.306278713629403,0.306278713629403,28.4839203675345,0.765696784073507,0,1.07197549770291,0,0.153139356814701,0.113507377979569,0.454029511918275,0.113507377979569,0,0.794551645856981,0,0.113507377979569,39.3989983305509,7.84641068447412,52.754590984975,11.1111111111111,88.8888888888889,24.2905788876277
95,0.715,0.133868808567604,0.669344042838019,0.133868808567604,0.267737617135207,1.20481927710843,3.4805890227577,1.07095046854083,0,0.535475234270415,0,0,0.133868808567604,0.267737617135207,0,0.535475234270415,8.70147255689424,0.669344042838019,0.937081659973226,0,0.133868808567604,11.2449799196787,0,2.54350736278447,20.7496653279786,0,0.267737617135207,0.267737617135207,0,0,0,0,0,0,0,0,0,0.133868808567604,3.88219544846051,0,0,0,0,0,0.133868808567604,0,0,0,0,0,0.401606425702811,0.535475234270415,0.669344042838019,0.133868808567604,0.267737617135207,0.535475234270415,4.01606425702811,0,0,0.267737617135207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267737617135207,0,0.133868808567604,0,0.133868808567604,0.133868808567604,0,0.669344042838019,0.535475234270415,1.33868808567604,0,31.1914323962517,0.401606425702811,0,0.267737617135207,0,0,0.354295837023915,0,0.0885739592559787,0,1.77147918511958,0.0885739592559787,0,40.1759530791789,8.35777126099707,51.466275659824,9.09090909090909,90.9090909090909,31.5323294951284
96,0.733,0.555555555555556,0.555555555555556,0.277777777777778,0.138888888888889,1.80555555555556,2.36111111111111,1.11111111111111,0,0.694444444444444,0,0.138888888888889,0.138888888888889,0,0,0.138888888888889,15.5555555555556,0.416666666666667,0.833333333333333,0,0.972222222222222,9.86111111111111,0,5.13888888888889,19.1666666666667,0.138888888888889,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0.277777777777778,3.47222222222222,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0.555555555555556,0.416666666666667,0.694444444444444,0.694444444444444,0,0.277777777777778,4.30555555555556,0,0,0.277777777777778,0,0.138888888888889,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0.138888888888889,0.138888888888889,0,0,0,0.138888888888889,0.416666666666667,0,0.833333333333333,0.277777777777778,25.1388888888889,0,0.277777777777778,0.277777777777778,0,0,0.218340611353712,0.0727802037845706,0,0.0727802037845706,0.655021834061135,0,0.0727802037845706,37.171052631579,7.56578947368421,55.2631578947368,0,100,46.5065502183406
98,0.775,0.537634408602151,1.0752688172043,0.3584229390681,0,0.17921146953405,2.8673835125448,1.25448028673835,0,0.537634408602151,0,0.17921146953405,0.3584229390681,0.537634408602151,0.17921146953405,0.3584229390681,12.0071684587814,0.716845878136201,0.17921146953405,0,0.537634408602151,12.3655913978495,0,2.68817204301075,28.494623655914,0.17921146953405,0.3584229390681,0,0,0,0,0,0.17921146953405,0,0,0,0,0.17921146953405,4.6594982078853,0,0,0,0,0,0.3584229390681,0,0,0,0,0,0.537634408602151,0.3584229390681,0.537634408602151,0.17921146953405,0.17921146953405,0.17921146953405,1.61290322580645,0,0,0,0,0,0.17921146953405,0.17921146953405,0,0,0,0,0,0,0,0,0,0.716845878136201,0.17921146953405,0.17921146953405,0.17921146953405,0,0,0,0,0,1.61290322580645,0.896057347670251,19.3548387096774,0.896057347670251,0.17921146953405,0.3584229390681,0,0.17921146953405,0,0.181653042688465,0.0908265213442325,0.0908265213442325,0.544959128065395,0,0,31.1608961303462,6.72097759674134,62.1181262729124,12.5,87.5,48.4105358764759
105,0.931,1.33111480865225,2.1630615640599,0.332778702163062,0,1.66389351081531,3.16139767054908,1.33111480865225,0,0.499168053244592,0,0,0.332778702163062,0,0.166389351081531,0,7.82029950083195,0.332778702163062,0,0,1.33111480865225,9.65058236272879,0,4.15973377703827,25.1247920133111,0.332778702163062,0.166389351081531,0,0,0,0,0.166389351081531,0.166389351081531,0,0,0,0,0.166389351081531,4.49251247920133,0,0,0,0,0,0.831946755407654,0,0,0,0,0,0.332778702163062,0.332778702163062,0,0.499168053244592,0.166389351081531,0.499168053244592,7.82029950083195,0,0,0.166389351081531,0,0,0,0,0,0,0,0,0,0,0,0.332778702163062,0,0.831946755407654,0,0.166389351081531,0.332778702163062,0.166389351081531,0.166389351081531,0.166389351081531,0.499168053244592,0.166389351081531,1.16472545757072,0.332778702163062,18.4692179700499,0.831946755407654,0,0.831946755407654,0,0,0.260642919200695,0.347523892267593,0.0868809730668983,0.0868809730668983,0.608166811468288,0.173761946133797,0,31.5884476534296,7.40072202166065,61.0108303249097,27.2727272727273,72.7272727272727,46.2206776715899
108,0.989,0.173010380622837,2.42214532871972,0.69204152249135,0,1.03806228373702,4.84429065743945,2.7681660899654,0,0.865051903114187,0,0.173010380622837,0,0,0,0,5.5363321799308,0.519031141868512,0.173010380622837,0,0.519031141868512,9.34256055363322,0,5.88235294117647,29.0657439446367,0.173010380622837,0.346020761245675,0.346020761245675,0,0,0,0.519031141868512,0.173010380622837,0,0,0,0,0.173010380622837,4.49826989619377,0,0.173010380622837,0,0,0,0.865051903114187,0,0,0.173010380622837,0,0,0.69204152249135,0.519031141868512,0,0.346020761245675,0.865051903114187,0.173010380622837,0,0,0,0.173010380622837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173010380622837,0.173010380622837,0,0.173010380622837,0.69204152249135,0.173010380622837,0.346020761245675,0.346020761245675,21.280276816609,0.865051903114187,0,1.3840830449827,0,0.173010380622837,0.272479564032698,0.272479564032698,0,0.136239782016349,1.08991825613079,0.136239782016349,0.136239782016349,34.6153846153846,8.24175824175824,57.1428571428571,9.09090909090909,90.9090909090909,19.2098092643052
109,1.007,2.16919739696312,1.95227765726681,0.650759219088937,0,0,4.77223427331887,2.60303687635575,0,0.867678958785249,0,0,0.216919739696312,0.867678958785249,0.216919739696312,0.650759219088937,8.67678958785249,1.08459869848156,0.650759219088937,0,0.867678958785249,14.3167028199566,0,4.77223427331887,5.2060737527115,0,0.433839479392625,0,0,0,0,0.216919739696312,0.216919739696312,0,0,0,0,0.216919739696312,5.42299349240781,0,0,0,0,0,0.433839479392625,0,0,0,0,0,0.650759219088937,0.216919739696312,0.650759219088937,0.433839479392625,0.433839479392625,1.08459869848156,9.11062906724512,0,0,0.216919739696312,0,0,0,0,0,0,0,0,0,0,0,0.216919739696312,0,0.433839479392625,0.216919739696312,0.216919739696312,0.433839479392625,0,0.216919739696312,0.216919739696312,0.433839479392625,0.216919739696312,1.95227765726681,0.650759219088937,23.4273318872017,0.433839479392625,0,0.650759219088937,0,0,0.167785234899329,0.503355704697987,0,0,3.35570469798658,0,0,40.855106888361,9.50118764845606,49.6437054631829,0,100,18.6241610738255
112,1.067,1.9438444924406,2.37580993520518,0.215982721382289,0,4.75161987041037,5.39956803455724,1.51187904967603,0,0.863930885529158,0,0.215982721382289,0.431965442764579,0.647948164146868,0.215982721382289,0.647948164146868,10.3671706263499,0.215982721382289,1.51187904967603,0,1.07991360691145,16.414686825054,0,2.15982721382289,3.23974082073434,0,0,0,0,0,0,0.863930885529158,0,0,0,0,0,0.215982721382289,6.0475161987041,0,0,0,0.215982721382289,0,0,0,0,0,0,0,0.431965442764579,0.647948164146868,0.215982721382289,0.215982721382289,0.431965442764579,1.07991360691145,2.15982721382289,0,0,0.215982721382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863930885529158,0.215982721382289,0.215982721382289,0.431965442764579,0,0.215982721382289,0.215982721382289,0,0.431965442764579,2.15982721382289,0.215982721382289,26.133909287257,0.863930885529158,0,0.863930885529158,0,0.215982721382289,0.303490136570561,0.455235204855842,0.151745068285281,0.151745068285281,1.21396054628225,0.151745068285281,0.151745068285281,44.578313253012,16.6265060240964,38.7951807228916,16.6666666666667,83.3333333333333,27.1623672230652
115,1.124,2.4390243902439,3.17073170731707,0,0,3.17073170731707,5.36585365853659,3.41463414634146,0,0.975609756097561,0,0.24390243902439,0,1.21951219512195,0,0.24390243902439,6.09756097560976,0.48780487804878,0.731707317073171,0,1.21951219512195,19.0243902439024,0,6.34146341463415,3.41463414634146,0.24390243902439,0.24390243902439,0,0,0,0,0.24390243902439,0.24390243902439,0.48780487804878,0,0,0,0.48780487804878,2.19512195121951,0,0,0,0,0,0,0,0,0.24390243902439,0,0,0.24390243902439,0.975609756097561,0.24390243902439,0,0,0,0.48780487804878,0,0,0.48780487804878,0,0,0,0,0,0,0.48780487804878,0.48780487804878,0,0,0,0.24390243902439,0,0,0.24390243902439,0.24390243902439,0.48780487804878,0.24390243902439,0.24390243902439,0,0.48780487804878,0.24390243902439,1.95121951219512,0.48780487804878,27.5609756097561,0,0,1.95121951219512,0,0.24390243902439,0.16750418760469,0.33500837520938,0,0,1.34003350083752,0.33500837520938,0,48.3116883116883,12.7272727272727,38.961038961039,20,80,29.1457286432161
