SampleId,age,sumCharArea,depth,Density,Mass,sed_rate,CHAR.tram,CHAR.z_scores
TRAM-3U-19-20,863,18403.1051,390,0.773142857,1.5025,0.0512820512820513,485.625811841299,-0.600657565126713
TRAM-3U-20-21,902,19629.9787,392,0.714384615,1.6349,0.0512820512820513,439.871795689149,-0.615819726154129
TRAM-3U-21-22,939,22083.7261,394,0.654214286,1.6743,0.0540540540540541,466.430960344252,-0.607018436887735
TRAM-3U-22-23,959,28218.0945,395,0.655772727,1.5234,0.05,607.34727520706,-0.560320987417183
TRAM-3U-23-24,999,0,397,0.46625,1.5846,0.05,0,-0.761586317997759
TRAM-3U-24-25,1020,84654.2835,398,0.4925,1.5901,0.0476190476190476,1248.56581717682,-0.347831251985439
TRAM-3U-25-26,1049,15949.3577,400,0.476136364,1.5225,0.0689655172413793,343.992715402906,-0.647592544733077
TRAM-3U-26-27,1066,25764.3472,402,0.513538462,1.534,0.117647058823529,1014.72376988435,-0.425322827025292
TRAM-3U-27-28,1077,61343.6836,403,0.574961538,1.5406,0.0909090909090909,2081.25869904532,-0.0718899331012468
TRAM-3U-28-29,1096,78519.9151,405,0.572541667,1.6593,0.105263157894737,2851.92697517041,0.183497407377722
TRAM-3U-29-30,1106,63797.431,406,0.536818182,1.5324,0.1,2234.90086959609,-0.0209753352931384
TRAM-3U-30-31,1128,36806.2101,408,0.58295,1.5356,0.0909090909090909,1270.22781606213,-0.340652806399755
TRAM-3U-31-32,1158,74839.2941,410,0.517178571,1.5525,0.0666666666666667,1662.06244454264,-0.210804975918978
TRAM-3U-32-33,1180,143544.2199,411,0.615,1.5321,0.0454545454545455,2619.09367530306,0.106340115362223
TRAM-3U-33-34,1230,147224.841,413,0.625703704,1.5371,0.04,2397.21887540202,0.0328142978069246
TRAM-3U-34-35,1283,261324.0926,415,0.6989375,1.5559,0.0377358490566038,4429.86242195835,0.706400386113097
TRAM-3U-35-36,1307,201207.2826,416,0.56084,1.6323,0.0416666666666667,2880.52370819763,0.192973914742124
TRAM-3U-36-37,1350,318987.1553,418,0.507538462,1.5912,0.0465116279069767,4732.37253144379,0.806647476492806
TRAM-3U-37-38,1375,774157.2888,419,0.39316,1.651,0.04,7374.14123960286,1.68208805895659
TRAM-3U-38-39,1426,721401.7207,421,0.419,1.5207,0.0392156862745098,7794.84476249457,1.82150258680204
