kaBP,depth,accrate,Erica,Allophylus,Acacia,Combretum,Commiphora,Cussonia,Dobera,Lannea,Macaranga,Olea,Jasminum,Podocarpus,Phoenix,Rhus,Securinega,Teclea,Zanthoxylum,Melastomataceae,Cassia,Capparidaceae,Maytenus,Acalypha,Euphorbia,Euphorbiacea,Phyllantus,Tamarindus,Buxus,Psydrax,Celastraceae,Celtis,Alchornea,Dodonaea,Ekebergia,Ephedra,Ficus,Ilex,Clematis,Euclea,Hagenia,Juniperus,Myrica,Myrsine,Rapanea,Rosa,Schefflera,Hypoestes,Hypericum,Anthospermum,Alchemilla,Aloe,Chenopodiaceae,Artemisia,Cichoroideae,Aster,Asteroideae,Carduus,Cerastium,Cerealia,Plantago,Planceolata,Poaceae,Asteraceae,Vernonia,Rumex,Polygonum,Solanum,Tribulus,Apiaceae,Urticaceae,Ziziphus,Brucea,Ricinus,Sapotaceae,Iridaceae,Asphodellus,Anthyllis,Leguminosae,Galium,Rubiaceae,Brassicaceae,Acanthus,Blepharis,Justicia,Caryophylaceae,Chorcorus,Saussurea,Swertia,Senecio,Heliotropium,Kohautia,Indigofera,Lamiaceae,Ranunculus,Thalictrum,Callytriche,Monoletes,Triletes,Cyperaceae,Typha,Botryococcus,Undetermined,Lycopodium,Lyc.conc,volume
9.243,681,0.06,58,0,0,3,0,1,0,0,0,2,0,14,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,5,8,1,0,0,0,0,0,2,17,8,0,3,4,4,2,12,0,0,0,0,0,467,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,2,1,0,1,3,1,1,0,1,0,1,0,5,2,0,1,4,3,83,1,1325,5,159,31272,1
9.329,686,0.06,29,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,17,0,0,0,0,0,0,0,24,0,0,3,1,0,1,12,0,0,0,0,0,343,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,1,0,1,1,1,2,0,1,2,0,83,1,1845,1,100,31272,1
9.377,689,0.07,93,0,0,3,0,0,0,0,0,1,0,44,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,5,10,0,0,0,0,0,0,2,13,3,0,0,5,6,1,12,0,0,0,0,0,471,13,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,1,1,0,3,0,0,1,5,1,65,0,1507,4,175,31272,1
9.415,692,0.07,82,0,0,0,0,0,0,0,0,5,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,4,0,2,0,1,0,2,12,5,0,1,5,0,1,12,0,0,0,0,0,296,13,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,2,0,0,1,3,0,1,1,0,2,0,0,5,3,43,1,1361,1,189,31272,1
9.464,696,0.07,85,0,0,3,0,0,0,0,0,3,0,36,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,7,1,0,0,0,0,0,2,17,7,0,2,5,0,0,14,0,0,0,0,0,445,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,1,1,1,0,1,0,5,60,1,1765,4,210,31272,1
9.512,700,0.07,98,0,0,4,0,0,0,0,0,4,0,49,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,12,4,0,0,0,0,0,1,8,2,0,2,4,1,0,14,0,0,0,0,0,387,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,1,2,1,0,0,3,0,0,1,1,0,0,0,1,1,0,0,0,0,91,1,1469,0,270,31272,1
9.561,704,0.06,107,0,0,2,0,0,0,0,0,3,0,30,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,5,0,0,0,0,0,0,15,7,0,5,1,1,0,12,0,0,0,0,0,344,17,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,1,1,1,0,1,1,2,1,1,0,1,1,1,0,2,2,0,1,0,5,118,0,1002,5,294,31272,1
9.589,706,0.07,89,0,0,4,0,0,0,0,0,1,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,3,5,0,0,0,0,0,0,22,1,0,2,2,2,2,12,0,0,0,0,0,377,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,1,0,1,0,0,4,0,0,0,5,0,0,1,2,1,0,0,1,1,111,0,1002,5,188,31272,1
9.63,709,0.07,68,0,0,5,0,0,0,0,0,1,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,9,10,0,0,0,0,0,1,22,1,0,2,1,6,1,13,0,0,0,0,0,299,18,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,2,0,1,0,4,0,0,0,2,1,1,0,0,1,0,1,2,5,115,1,958,4,214,31272,1
9.666,712,0.06,86,0,0,3,0,0,0,0,0,5,1,36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,4,2,0,0,0,0,0,1,19,1,0,4,4,5,2,15,0,0,0,0,0,298,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,2,1,0,1,3,0,1,0,1,1,1,0,4,2,0,0,2,0,88,0,949,4,236,31272,1
9.723,717,0.06,75,0,0,3,0,0,0,0,0,4,0,36,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,10,5,0,0,0,0,0,2,10,8,0,0,2,2,2,11,0,0,0,0,0,291,9,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,1,1,0,1,0,0,1,0,3,1,0,1,3,0,1,0,4,1,75,0,943,4,300,31272,1
9.746,719,0.06,198,0,0,6,0,0,0,0,0,2,0,37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,8,0,0,0,0,0,2,6,7,0,4,3,4,0,15,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,1,2,3,0,1,1,3,0,0,0,1,0,1,0,4,5,114,1,861,2,328,31272,1
9.757,720,0.08,58,0,0,6,0,0,0,0,0,4,0,50,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,6,0,0,0,0,0,0,2,7,0,1,1,0,2,11,0,0,0,0,0,161,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,5,0,1,0,1,0,0,1,0,5,122,0,972,2,354,31272,1
9.823,728,0.09,78,0,0,0,0,0,0,0,0,0,0,50,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,1,0,0,0,0,0,0,11,6,0,7,8,3,2,15,0,0,0,0,0,189,19,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,3,0,1,0,1,0,0,1,4,1,1,1,3,5,85,1,896,4,148,31272,1
9.872,734,0.1,45,0,0,4,0,0,0,1,0,4,0,38,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,0,0,0,0,0,1,9,7,0,19,8,1,1,21,0,0,0,0,0,125,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,2,1,1,2,4,1,1,0,5,1,0,1,4,2,1,1,0,1,101,1,980,1,321,31272,1
9.923,740,0.09,100,0,0,3,0,0,0,0,0,4,0,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,9,0,0,18,20,6,0,18,0,0,0,0,0,132,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,1,1,1,0,1,5,1,0,1,0,0,0,0,3,2,0,1,5,4,103,1,1026,5,214,31272,1
9.965,746,0.09,31,0,0,2,0,0,0,0,0,5,0,50,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,9,0,0,0,0,0,3,4,8,1,15,5,4,0,22,0,0,0,0,0,193,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,4,0,1,0,3,0,0,0,1,0,0,0,1,1,130,1,897,3,100,31272,1
10.013,752,0.09,54,0,0,4,0,0,0,0,0,2,0,44,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,1,0,1,4,8,0,1,10,0,0,22,0,0,0,0,0,204,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,1,0,4,1,1,0,0,0,0,1,2,3,121,0,880,1,98,31272,1
10.06,757,0.1,67,0,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,5,3,6,0,7,13,6,2,23,0,0,0,0,0,207,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,3,1,1,0,3,1,0,1,3,4,118,0,1016,2,104,31272,1
10.106,762,0.09,94,0,2,0,0,0,0,0,0,3,0,47,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,8,0,1,0,0,0,2,1,1,0,4,8,3,0,21,0,0,0,0,0,354,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,4,1,1,1,3,0,1,0,0,0,0,1,5,2,102,0,1681,5,115,31272,1
10.151,767,0.08,98,0,0,1,0,0,0,0,0,4,0,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,0,0,0,0,0,2,13,8,0,13,9,5,1,22,0,0,0,0,0,258,18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,1,1,1,0,1,1,0,1,0,1,1,2,1,0,0,0,1,99,1,1369,1,203,31272,1
10.22,775,0.08,114,0,0,3,0,0,0,0,0,2,0,30,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,7,0,0,0,0,0,5,3,4,0,12,4,5,1,23,0,0,0,0,0,444,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,5,1,0,0,5,1,0,1,0,2,1,1,5,1,95,0,1383,4,175,31272,1
10.288,783,0.11,51,0,0,1,0,0,0,0,0,5,0,41,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,9,0,0,0,0,2,0,14,7,0,30,15,0,0,19,0,0,0,0,0,234,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,3,1,1,0,4,1,1,0,2,0,0,1,3,2,140,1,1204,4,152,31272,1
10.31,786,0.1,70,0,0,2,0,0,2,0,0,5,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,10,0,0,1,0,0,0,15,2,0,17,19,5,1,23,0,0,0,0,0,455,16,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,3,0,0,1,1,0,0,0,4,0,0,0,0,0,107,0,1256,0,158,31272,1
10.327,788,0.1,72,0,0,3,0,0,0,0,0,2,0,38,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,8,3,0,0,0,0,0,0,9,3,0,22,3,0,2,21,0,0,0,0,0,152,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,2,1,1,2,3,1,0,1,5,0,0,0,4,1,0,0,1,5,79,0,1244,0,184,31272,1
10.369,793,0.11,102,0,0,0,0,0,0,0,0,2,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,7,0,0,0,0,0,0,9,7,0,41,9,0,0,22,0,0,0,0,0,201,20,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,1,0,1,1,1,1,1,1,1,4,1,1,1,2,2,1,0,3,1,71,0,1571,0,168,31272,1
10.385,795,0.09,28,0,0,0,0,0,0,0,0,5,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,4,4,0,0,0,0,0,0,0,3,0,44,14,1,0,18,0,0,0,0,0,301,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,5,0,0,0,5,1,0,1,3,0,1,1,1,5,48,0,1188,2,114,31272,1
10.409,798,0.1,24,0,0,5,0,0,0,0,0,3,0,43,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,8,7,0,0,0,0,0,0,0,4,0,15,14,0,1,19,0,0,0,0,0,441,15,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,1,1,1,5,1,1,0,3,1,1,0,1,0,0,0,4,2,50,1,1471,5,101,31272,1
10.457,804,0.1,60,0,0,3,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,16,20,4,1,16,0,0,0,0,0,382,14,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,0,1,0,1,1,2,0,0,5,2,31,0,1178,5,196,31272,1
