"name","group","element","units","context","S668253","S668254","S668256","S668258","S668255","S668259","S668257","S668260","S668261","S668262","S668263","S668264","S668265","S668266","S668267","S668268","S668269","S668270","S668271","S668273","S668272","S668274","S668275","S668276","S668277","S668278","S668279","S668280","S668281","S668282","S668283","S668284","S668285","S668286","S668287","S668288","S668289","S668296","S668290","S668291","S668292","S668293","S668294","S668295","S668297","S668298","S668299","S668300","S668301","S668302","S668310","S668303","S668304","S668305","S668306","S668307","S668308","S668309","S668311","S668312","S668313","S668314","S668315","S668321","S668316","S668317","S668318","S668319","S668320","S668322","S668323","S668324","S668325","S668331","S668326","S668327","S668328","S668329","S668330","S668332","S668333","S668334","S668335","S668336","S668337","S668338","S668339","S668340","S668341","S668342","S668343","S668344","S668345","S668346","S668347","S668356","S668348","S668349","S668355","S668350","S668351","S668352","S668353","S668354","S668357","S668358","S668359","S668367","S668360","S668361","S668362","S668363","S668364","S668365","S668366","S668368","S668369","S668370","S668371","S668378","S668372","S668373","S668374","S668375","S668376","S668377","S668379","S668380","S668389","S668381","S668382","S668383","S668384","S668385","S668386","S668387","S668388","S668390","S668391","S668392","S668393","S668394","S668401","S668395","S668396","S668397","S668398","S668399","S668400","S668402","S668403","S668404","S668405","S668412","S668406","S668407","S668408","S668409","S668410","S668411","S668413","S668414","S668415","S668422","S668416","S668417","S668418","S668419","S668420","S668421","S668423","S668424","S668425","S668426","S668432","S668433","S668427","S668428","S668431","S668429","S668430","S668434","S668435","S668444","S668436","S668443","S668437","S668438","S668439","S668440","S668441","S668442","S668445","S668446","S668448","S668447","S668449","S668450","S668451","S668452","S668453","S668454","S668455","S668458","S668457","S668456","S668459","S668467","S668466","S668461","S668460","S668462","S668469","S668463","S668464","S668465","S668468","S668470","S668471","S668474","S668472","S668473","S668475","S668480","S668477","S668476","S668479","S668478","S668481","S668482","S668483","S668484","S668485","S668486","S668487","S668488","S668489","S668490","S668491","S668492","S668493","S668494","S668495","S668498","S668496","S668497","S668499","S668502","S668500","S668501","S668503","S668504","S668505","S668506","S668507","S668508","S668509","S668510","S668511","S668513","S668512","S668514","S668515","S668516","S668517","S668518","S668519","S668520","S668522","S668521","S668523","S668524","S668525","S668526","S668527","S668528","S668529","S668530","S668531","S668532","S668534","S668533","S668537","S668535","S668536","S668538","S668539","S668540","S668541","S668542","S668543","S668544","S668547","S668545","S668546","S668548","S668551","S668549","S668550","S668552","S668553"
Galium,UPHE,pollen,NISP,,,,2,2,,1,1,,,1,2,1,,1,,2,,,2,2,,,1,1,,,1,1,2,2,2,,1,1,,1,1,,,1,1,1,1,1,1,,1,,,1,,1,,,,1,1,,1,,1,1,,,,1,,,,1,1,1,,1,,1,1,1,1,1,,1,,1,1,1,,,,1,1,1,1,,1,,1,1,1,1,1,1,,1,1,,,,,,,,,1,1,,,1,,,1,1,1,1,,,,,1,1,,1,,,1,,1,1,1,,,1,,1,,1,1,,1,,,1,,,1,,,,1,1,1,,,1,,1,1,,1,,,,,,,1,1,,,,1,,1,,1,,1,,,1,1,1,,,1,,,1,,1,,1,1,,,,,,1,1,1,,,,1,,1,,1,,,,,1,1,,1,,,1,,1,1,,1,,1,1,1,,,1,1,,,,1,,,,,1,1,,,,1,1,1,1,1,,,,1,1,1,1,,1,1,,1,1,,,,,,1,1,,,1,1,,,,1,,1,,1,,1,1,,,,1,
Hagenia,TRSH,pollen,NISP,,40,38,36,33,41,43,34,39,22,24,34,23,32,41,43,39,31,20,32,41,34,32,24,24,25,25,25,41,35,30,35,10,22,35,28,17,30,34,33,13,40,33,16,32,26,28,20,18,24,37,22,18,22,15,19,37,15,25,34,22,10,26,34,21,11,19,11,25,29,33,17,39,39,19,17,22,30,28,22,27,31,40,29,29,29,22,16,40,30,20,20,37,26,31,19,23,28,35,14,37,18,16,15,17,18,18,19,12,20,15,13,4,3,2,,3,4,,1,5,4,3,5,5,1,,2,,3,3,,5,4,2,,3,1,1,5,5,3,4,4,2,3,,1,,3,4,3,5,5,5,2,3,4,,4,,1,,3,5,2,2,1,1,4,,5,3,,2,3,,5,1,3,4,4,,1,1,,1,4,2,5,5,,1,2,1,2,4,1,1,1,4,1,3,4,5,3,5,4,,,4,4,1,1,3,2,1,4,1,3,,4,,3,5,5,3,2,3,4,5,1,2,2,,4,2,4,1,2,2,1,1,2,4,4,,3,4,4,1,1,4,5,,2,2,4,3,,,4,4,5,4,4,1,3,,2,,,2,,2,5,2,3,5,2,,3,4,3,4,2,5,5,2,1,5,3,5,1,5,3,2,5,1,2,2,2
Heliotropium,UPHE,pollen,NISP,,,4,2,4,5,1,5,3,5,2,4,1,5,3,1,,4,2,5,5,5,4,2,,1,2,4,,3,5,4,1,,,1,1,,1,,1,,1,1,,,,1,1,,,,1,,1,1,,,1,1,,,1,,1,1,,,,1,1,1,,1,,,,,,1,1,,,1,1,,,,1,1,,,,,,,1,,,1,1,,1,1,,1,1,1,,,1,1,,,,,,,,,1,1,,,1,,1,1,,1,1,1,,,1,,1,1,1,1,,,,1,,1,,,1,,1,,,,,1,,1,1,1,,1,1,1,1,1,1,,1,1,,,1,,,,1,,1,1,,1,1,,1,1,1,,,1,,,1,,1,,,1,1,,1,1,1,,,,1,,1,,1,,1,1,1,,,,1,,,1,1,,,1,1,,,1,1,1,1,1,,1,1,,,1,1,1,1,1,,,,,,,1,1,1,,1,,,,,,1,1,,,,,,1,,1,,,,1,,1,,1,,,,,1,,1,,,,,1,1,1,,1,,,,,,1,,1
Hypericum,UPHE,pollen,NISP,,,,3,,,4,2,2,2,4,,4,2,2,,2,5,3,,3,2,,5,2,1,4,1,2,5,4,4,2,4,3,1,2,4,2,2,4,3,3,4,5,2,3,5,4,3,4,5,3,5,4,5,3,4,2,3,5,1,2,4,3,4,5,3,2,1,3,4,2,4,3,2,3,3,4,4,3,4,5,5,1,5,1,2,2,1,4,2,4,4,1,4,1,3,5,1,2,5,1,4,1,1,2,7,1,2,2,4,1,5,3,3,1,,3,2,1,5,3,,2,4,2,,,,,2,2,5,5,2,3,1,2,5,1,1,5,2,5,5,1,1,1,1,4,,2,2,4,5,4,,,5,1,2,2,,3,3,5,,1,1,,,1,,2,2,,,2,1,,1,2,1,2,2,2,,1,,1,,2,1,2,,1,,,,2,,,2,2,,2,2,2,1,,,1,1,2,2,,,1,,3,1,5,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoestes,UPHE,pollen,NISP,,,1,1,1,1,1,2,,1,1,2,2,,,,,2,1,,1,,,1,1,2,2,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
Ilex,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigofera,TRSH,pollen,NISP,,1,3,4,,3,2,5,3,4,,,5,,1,4,1,2,4,5,5,1,3,,5,4,4,,4,2,1,1,1,1,1,1,1,,1,,1,1,,,,1,1,,1,,,,,1,1,,1,,1,1,1,1,,1,1,,,1,1,1,1,1,,,1,1,,,,,,,,1,1,,,1,,,,,1,,1,1,,,,1,,,,1,,1,1,,1,1,,,1,,1,,,,,,,,,1,,,,1,,,,,1,1,1,1,1,,1,,1,,1,1,1,1,,1,,,,,,,,1,1,1,1,1,,1,,1,,1,,1,1,,,1,1,1,1,,1,1,1,1,,,,,1,,,1,,1,1,,1,1,,1,,1,1,,1,1,,1,,1,,1,1,,,1,,,1,,,1,1,,,,,,1,1,,,,1,1,,1,1,,1,,,,,1,,,1,1,,,1,,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,,1,1,,1,,1,,1,1,1,,,1,,,1,,1,1,,1,1,,,,1,,,,1,,1,
Iridaceae,UPHE,pollen,NISP,,5,,2,5,3,1,1,3,4,4,,1,2,2,1,5,2,1,4,,5,2,2,4,1,4,5,3,5,4,1,,5,3,4,,5,3,5,3,1,5,,3,2,3,4,2,5,,4,5,3,2,,3,,1,3,1,4,1,3,1,5,5,4,4,,4,5,3,5,,5,1,3,2,2,,5,1,3,2,1,5,4,,4,1,4,4,4,4,1,2,1,2,1,,3,1,1,1,,5,,3,1,2,5,1,2,5,5,5,3,5,1,4,5,2,5,1,1,,,2,2,2,2,,,3,1,1,4,,5,4,3,2,1,,4,4,4,5,3,3,4,4,1,1,5,5,5,4,5,2,,5,4,2,3,1,3,3,1,5,4,5,1,5,3,3,4,1,4,2,5,4,4,4,1,2,5,4,1,,5,2,3,4,2,5,1,5,2,,2,3,1,1,4,5,3,2,5,1,4,2,3,,,,4,3,2,5,1,,1,3,4,,5,1,3,3,3,3,5,4,3,4,,1,1,3,2,,1,1,2,,,5,2,2,3,4,1,1,2,3,1,2,4,4,1,3,5,5,2,4,,4,1,5,2,3,1,4,5,4,1,1,4,5,,5,5,4,3,,2,,1,3,4,3,,4,4,1,2,4,,3,4
Juniperus,TRSH,pollen,NISP,,137,138,136,149,152,146,164,164,156,134,131,163,154,154,160,144,143,132,161,139,143,152,158,143,157,155,146,130,136,147,144,162,131,141,131,156,160,162,162,163,148,177,142,140,156,150,137,176,159,164,169,144,144,167,155,138,159,151,168,24,15,14,24,24,24,14,17,25,17,19,18,18,40,70,73,63,40,52,51,63,61,60,77,81,41,62,90,92,107,109,100,99,100,98,105,104,110,92,27,57,59,24,23,31,35,28,21,59,39,45,48,51,40,21,60,52,39,35,3,10,6,8,8,3,7,12,15,13,5,14,11,15,33,31,30,39,26,32,33,36,39,23,20,16,26,32,20,26,36,28,24,21,18,25,20,24,6,5,10,7,5,10,9,5,6,6,9,7,6,6,8,9,6,10,8,7,7,8,6,9,9,8,7,8,9,5,9,8,5,7,11,10,14,9,15,8,13,18,9,16,19,5,10,8,17,10,9,7,12,,3,9,4,10,,10,5,2,6,10,10,9,,8,6,2,4,8,6,4,8,,1,4,5,15,15,20,15,18,16,17,15,15,18,16,18,16,20,18,10,9,8,11,15,13,7,12,7,6,8,12,6,12,14,13,10,19,18,18,18,17,17,15,19,20,15,19,18,17,16,17,15,16,16,19,17,17,16,15,17,19,19,15,15,16,17,17,18,19,20
Justicia,UPHE,pollen,NISP,,2,,,2,,,,1,,1,1,1,,,2,2,,1,1,,,1,1,2,,1,2,2,,1,2,,1,2,2,,,1,2,2,2,,1,,,,,2,,2,1,2,,,,,1,2,1,2,2,2,2,1,,1,1,,2,,,,,2,2,2,2,1,1,1,1,,,2,1,2,1,1,,,2,,2,,2,1,,1,1,2,,,2,2,,1,2,2,,,1,1,,,1,,1,,2,1,,1,1,2,1,,,1,,2,,2,,1,2,1,2,,1,1,,,2,,1,1,2,1,,,,1,1,2,1,1,1,2,2,2,2,1,2,,2,1,1,2,2,2,2,,1,1,,,1,,2,2,2,2,,1,2,1,2,2,2,2,1,1,1,1,2,1,,2,1,1,,,2,1,1,,1,1,,1,,,1,1,2,1,1,2,1,,,,,1,2,2,,2,1,2,1,1,,,2,1,2,,1,2,2,2,2,1,1,,1,2,2,,1,2,1,1,,,,2,,,1,,,2,,,,2,,,1,,,2,2,2,2,1,,,2,,2,2,1,,1,1,,2,2,2,2,,,,2,,1,,1
Kohautia,TRSH,pollen,NISP,,1,1,,5,,4,5,4,2,3,1,2,1,5,4,4,5,5,2,,3,1,1,5,5,2,5,3,4,3,3,1,1,1,1,,,,1,1,1,1,,1,,1,,1,,,,1,1,,1,,,1,,1,1,1,,1,,,,,1,,,1,,1,1,1,,,,,,1,,1,1,,,,,,1,,,1,1,,,,1,,,,,,1,,1,1,1,,1,1,,,1,1,,,,1,,,1,,1,,,1,1,1,1,,,1,1,,,1,1,,,,1,1,,,1,,,1,1,,,1,,1,,1,1,,,,1,,,1,1,,1,,,1,1,,,,,,,1,1,,,,1,1,1,1,1,1,1,,1,1,,1,,1,,1,1,1,1,1,1,1,1,1,,1,,1,1,,,1,,,,,1,1,1,1,,1,,,1,,1,,,,,1,,1,,,1,1,,1,,1,,1,,,,,1,,,1,1,1,1,1,,1,1,1,,1,,,,,1,1,,1,,1,1,,,1,1,1,,,1,1,,1,1,1,1,1,1,1,,1,,1,,,1
Lamiaceae,UPHE,pollen,NISP,,3,3,,2,3,1,4,4,2,1,4,1,,4,3,4,5,4,1,,5,2,,4,5,4,4,5,3,1,3,1,5,3,2,5,2,4,2,4,2,2,,4,4,,1,4,2,2,4,3,4,2,5,3,,3,4,2,,2,2,2,5,,4,4,4,1,5,,5,1,3,2,3,1,4,1,4,3,4,2,3,4,2,2,,,4,3,1,,,3,5,5,5,,3,3,3,,5,1,3,4,5,,4,1,5,,1,1,3,1,,,1,4,1,1,1,4,1,2,3,2,3,1,4,5,3,2,,1,4,5,1,3,,4,5,1,,2,2,5,2,3,1,4,5,3,1,4,5,2,,5,,1,1,2,3,3,1,5,,5,2,5,,3,2,,5,,5,2,,1,3,3,2,5,5,4,1,,4,4,,4,,5,2,1,5,5,5,5,1,3,,1,1,2,2,,4,3,1,1,4,4,3,1,,3,,2,,2,4,4,2,3,1,1,3,3,1,1,4,3,2,3,3,3,,2,2,5,,,4,2,4,1,2,5,3,,3,5,,2,2,5,5,1,,4,5,2,,5,1,2,5,,,5,4,4,,5,1,3,3,2,1,4,,5,4,,2,5,,1,3,1,1,4,2,5,
Lannea,TRSH,pollen,NISP,,,,,,,,,,,,,5,,1,2,3,1,,4,4,3,5,5,2,5,1,1,2,,5,2,2,3,4,3,2,5,3,,3,2,,2,2,4,,4,1,1,1,2,,3,,2,,1,1,5,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaranga,TRSH,pollen,NISP,,,,,,,,,,,,,4,,1,,1,2,4,5,4,5,4,4,4,2,2,3,3,3,4,3,,,2,2,5,2,1,2,1,3,5,,4,,2,2,1,1,3,,2,3,4,4,2,1,3,1,5,5,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maytenus,TRSH,pollen,NISP,,,2,2,,1,1,1,2,1,2,2,,1,1,1,2,1,,,,2,,2,1,2,2,,1,2,2,1,,,,,,,,,,,,1,2,1,,,,,,,1,,,,,,,,,,2,,,,2,,,,,,,1,,1,,,,,,,,1,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melastomataceae,TRSH,pollen,NISP,,2,,,2,2,1,1,,2,1,2,1,1,1,2,,2,1,,1,,,2,1,2,2,,1,1,,2,,,1,2,2,1,1,,1,1,2,,,2,,1,,2,1,2,1,2,1,2,1,2,1,,,2,,2,2,1,2,,,2,,,2,1,2,,2,2,1,1,,,2,,2,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,2,1,2,,1,1,1,1,1,1,1,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrica,TRSH,pollen,NISP,,4,2,2,2,2,2,,,5,3,,2,5,,4,5,5,1,3,4,1,,2,4,,2,3,,,5,4,5,5,2,4,,4,1,1,5,,4,5,4,2,5,5,5,,3,1,2,,2,1,3,2,5,5,2,,,,2,,5,4,4,1,,5,2,4,1,,,,2,1,3,1,2,,3,2,4,5,1,2,,5,3,3,5,,5,4,4,5,5,3,3,2,5,3,,3,2,2,2,,3,2,2,3,4,5,4,3,15,13,14,15,14,10,12,5,3,4,4,4,1,1,,3,,,2,3,1,1,3,5,5,4,,1,2,,3,4,4,2,1,4,1,1,5,1,2,2,,3,1,4,2,1,2,2,2,3,4,4,,5,2,2,,2,1,2,2,4,4,4,3,4,3,5,2,3,2,3,4,3,3,,4,3,5,2,1,4,1,,,4,1,4,5,5,10,2,5,8,6,1,8,7,9,5,,8,9,7,9,10,3,7,4,7,4,3,2,1,1,2,4,4,4,2,1,4,,4,2,2,,2,,1,,,1,3,3,2,2,2,3,,1,4,1,2,,1,4,2,4,,2,3,2,3,,2,,3,2,2,,1,4,3,1,2,1,2,3,,3,4,,,1,4,4,4,3,1
Myrsine,TRSH,pollen,NISP,,,1,2,1,,,2,1,2,1,,2,,1,1,1,2,,1,1,1,,1,,1,2,1,2,1,1,,2,1,2,,,,1,2,,,,1,,1,2,2,,1,1,1,,1,1,,1,1,2,1,,,1,,1,1,1,2,2,1,,1,2,2,,1,1,,2,2,1,,1,1,1,,,,2,2,2,2,2,,,,,2,1,2,1,2,,,1,1,,1,2,1,,1,1,,1,1,1,1,1,1,,,,,2,1,2,2,,,,2,,1,2,2,2,2,1,,2,,,1,1,2,,2,1,,1,1,1,,2,1,1,1,2,2,1,1,2,1,2,1,1,2,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olea,TRSH,pollen,NISP,,,4,2,1,3,3,2,12,5,22,34,47,21,18,11,10,27,4,47,34,29,22,33,32,29,18,14,35,26,24,25,3,46,2,24,30,23,38,8,3,45,17,7,42,10,22,25,29,37,6,29,41,35,26,30,31,9,47,,42,10,2,15,12,8,4,7,3,6,4,8,1,8,6,3,16,15,16,11,12,20,15,17,18,11,18,19,10,20,18,20,15,20,10,18,13,20,17,15,16,14,20,13,11,18,20,14,14,19,18,20,20,13,20,17,19,17,12,15,10,10,12,12,16,8,1,2,3,3,4,5,,5,5,,2,5,5,1,,4,,4,1,2,3,1,1,1,1,2,,3,1,3,1,4,4,1,5,5,,2,3,2,4,1,5,4,5,1,1,5,4,3,2,2,4,5,5,1,5,5,5,2,2,4,,,3,5,4,5,3,,1,5,1,3,3,3,4,2,2,,1,5,3,4,3,1,1,5,4,2,4,,4,4,5,2,3,3,4,2,5,5,2,2,5,3,,5,5,1,3,1,,2,5,,4,4,4,3,2,5,4,1,,,,2,3,5,5,5,4,3,3,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix,PALM,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
Phyllanthus,UPHE,pollen,NISP,,,2,1,1,2,2,,2,1,2,,2,2,1,1,2,,2,,2,1,,,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago,UPHE,pollen,NISP,,149,172,236,238,190,141,250,143,215,218,205,250,213,219,175,247,185,244,139,188,227,149,236,241,142,219,230,236,247,220,164,172,143,248,239,217,121,139,132,207,137,112,111,200,4,11,11,14,10,2,9,13,10,4,10,8,14,9,4,12,11,10,10,12,1,8,8,3,12,3,11,11,4,3,7,9,9,11,7,5,3,2,3,5,5,1,2,3,4,5,4,3,,4,3,4,4,5,2,4,1,5,1,1,2,2,2,3,4,5,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,18,22,15,17,16,18,17,17,22,20,16,19,19,22,16,18,12,18,21,22,12,19,15,18,9,17,11,11,21,8,15,46,70,84,73,84,107,125,121,122,95,92,102,127,98,117,225,190,226,231,211,215,231,186,233,181,108,111,123,108,121,113,118,114,104,107,79,75,82,85,114,111,91,83,92,92,69,70,69,65,59,75,73,58,34,86,68,31,68,62,73,24,30,45,90,31,94,72,40,64,70,33,94,78,68,62,67,79,79,106,92,93,105,109,265,130,274,154,186,120,88,32,108,40,109,89,59,75,169,138,133,159,122,192,186,121,170,133,210,174,144,208,124,127,143,104,64,90,75,95,110,112,65,113,57,108,128,82,116,189,137,136,126,149,236,198,244,252,163,215,206,188,181,166,228,249,213,234,183,175,287,393,208,234,266,253,372,220,329,233,392,325,382,340,333,426,438,335,472,349,310,341,308,467,343,471,296,445,387,344,377,299,298,291,141,161,189,125,132,193,204,207,354,258,444,234,455,152,201,301,441,382,205,244,275,427,280,145,296,424,260,139,306,414,419,244,307,213,192,297,239,196,169,134,233,290,305,373,373,355,195,136,367,278,297,360,372,451,417,424,218,150,316,419,164,367,186,386,224,137,353,231,373,183,425,248,392,446,450,330,225,319,193,406,332,301,413,410,319,411,349
Poaceae (Cerealia),UPHE,pollen,NISP,,21,10,20,17,10,10,16,30,25,10,19,30,25,30,28,12,16,30,15,18,12,17,17,12,13,14,28,22,17,28,32,23,21,32,31,24,10,8,6,5,4,7,5,2,1,4,3,5,6,1,2,2,4,2,4,,,1,1,1,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podocarpus,TRSH,pollen,NISP,,20,63,33,51,27,65,58,49,59,38,50,50,38,29,30,47,35,58,83,83,78,85,79,67,95,69,72,69,78,67,93,67,69,95,67,65,79,54,70,53,73,74,60,60,77,89,57,92,86,86,96,98,63,65,84,71,69,58,54,66,76,78,65,89,52,55,56,50,51,50,92,53,87,68,67,64,84,64,79,68,86,91,96,83,87,95,85,83,82,97,86,89,80,81,86,82,54,40,54,38,51,41,32,36,44,60,47,48,32,52,49,111,113,115,86,119,104,99,87,82,96,92,100,95,108,98,105,85,62,94,97,75,45,32,24,29,28,32,22,29,27,21,32,25,30,37,20,28,21,36,21,40,33,20,20,14,20,14,10,18,13,15,12,10,14,14,20,14,13,13,19,14,11,17,17,11,12,19,19,13,16,20,12,14,10,12,11,17,14,13,20,11,16,16,20,12,15,20,18,13,18,11,16,14,48,44,34,36,49,30,44,36,36,36,37,50,50,38,35,50,44,39,47,30,30,41,38,38,45,44,43,42,32,34,42,39,32,33,30,33,32,49,48,43,40,45,44,41,41,50,31,37,33,48,39,39,31,44,35,44,17,25,24,21,12,30,12,20,18,20,28,10,22,24,4,,,,6,1,2,8,4,6,2,6,4,,1,4,2,3,2,,,,,,,,
Polygonum,UPHE,pollen,NISP,,5,12,13,12,10,11,10,13,10,9,13,14,15,14,14,14,14,10,10,10,8,10,15,11,8,4,5,3,4,2,2,5,1,1,2,3,1,1,3,1,3,3,2,3,4,5,,3,,3,3,1,4,2,4,5,3,3,5,4,4,4,5,4,3,,5,1,1,1,1,1,2,,,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax,TRSH,pollen,NISP,,,,1,1,,1,1,2,1,2,1,1,,,,,,,,1,2,2,,,1,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
