bootstrap,coefs_validos,positivos,negativos,pct_pos
55,5550,2564,2986,46.1981981981982
56,5550,2578,2972,46.45045045045045
57,5550,2597,2953,46.792792792792795
58,5550,2547,3003,45.89189189189189
59,5550,2494,3056,44.93693693693694
60,5550,2506,3044,45.153153153153156
61,5550,2563,2987,46.18018018018018
62,5550,2582,2968,46.52252252252252
63,5550,2525,3025,45.4954954954955
64,5550,2505,3045,45.13513513513514
65,5550,2512,3038,45.26126126126126
66,5550,2513,3037,45.27927927927928
67,5550,2514,3036,45.2972972972973
68,5550,2523,3027,45.45945945945946
69,5550,2568,2982,46.27027027027027
70,5550,2515,3035,45.31531531531531
71,5550,2513,3037,45.27927927927928
72,5550,2601,2949,46.86486486486486
73,5550,2510,3040,45.22522522522522
74,5402,2532,2870,46.871529063309886
75,5550,2600,2950,46.846846846846844
76,5550,2568,2982,46.27027027027027
77,5550,2562,2988,46.16216216216216
78,5550,2548,3002,45.909909909909906
79,5550,2537,3013,45.711711711711715
80,5550,2558,2992,46.090090090090094
81,5550,2532,3018,45.62162162162162
82,5550,2586,2964,46.5945945945946
83,5550,2581,2969,46.50450450450451
84,5550,2512,3038,45.26126126126126
85,5550,2545,3005,45.85585585585585
86,5550,2538,3012,45.729729729729726
87,5550,2492,3058,44.9009009009009
88,5550,2571,2979,46.32432432432432
89,5550,2561,2989,46.14414414414414
90,5550,2537,3013,45.711711711711715
91,5550,2494,3056,44.93693693693694
92,5550,2551,2999,45.96396396396397
93,5550,2483,3067,44.73873873873874
94,5550,2554,2996,46.01801801801802
95,5402,2502,2900,46.31617919289152
96,5550,2526,3024,45.513513513513516
97,5550,2518,3032,45.369369369369366
98,5550,2493,3057,44.91891891891892
99,5550,2565,2985,46.21621621621622
100,5550,2557,2993,46.072072072072075
101,5550,2557,2993,46.072072072072075
102,5550,2518,3032,45.369369369369366
103,5550,2514,3036,45.2972972972973
104,5550,2524,3026,45.47747747747748
105,5550,2530,3020,45.585585585585584
106,5550,2535,3015,45.67567567567568
107,5550,2513,3037,45.27927927927928
108,5550,2584,2966,46.55855855855856
109,5550,2491,3059,44.88288288288288
110,5550,2481,3069,44.7027027027027
111,5550,2558,2992,46.090090090090094
112,5550,2504,3046,45.11711711711712
113,5550,2491,3059,44.88288288288288
114,5550,2507,3043,45.17117117117117
115,5550,2527,3023,45.531531531531535
116,5550,2517,3033,45.35135135135135
117,5550,2492,3058,44.9009009009009
118,5550,2521,3029,45.42342342342343
119,5550,2537,3013,45.711711711711715
120,5550,2521,3029,45.42342342342343
121,5550,2526,3024,45.513513513513516
122,5550,2493,3057,44.91891891891892
123,5550,2530,3020,45.585585585585584
124,5550,2500,3050,45.04504504504504
125,5550,2562,2988,46.16216216216216
126,5550,2559,2991,46.10810810810811
127,5550,2506,3044,45.153153153153156
128,5550,2472,3078,44.54054054054054
129,5550,2524,3026,45.47747747747748
130,5550,2554,2996,46.01801801801802
131,5550,2575,2975,46.3963963963964
132,5550,2497,3053,44.990990990990994
133,5550,2559,2991,46.10810810810811
134,5550,2469,3081,44.486486486486484
135,5550,2624,2926,47.27927927927928
136,5550,2515,3035,45.31531531531531
137,5550,2596,2954,46.77477477477478
138,5550,2564,2986,46.1981981981982
139,5550,2514,3036,45.2972972972973
140,5550,2566,2984,46.234234234234236
141,5550,2509,3041,45.207207207207205
142,5550,2497,3053,44.990990990990994
143,5550,2601,2949,46.86486486486486
144,5550,2545,3005,45.85585585585585
145,5550,2518,3032,45.369369369369366
146,5550,2529,3021,45.567567567567565
147,5550,2555,2995,46.03603603603604
148,5550,2605,2945,46.93693693693694
149,5550,2532,3018,45.62162162162162
150,5550,2583,2967,46.54054054054054
151,5550,2495,3055,44.95495495495496
152,5550,2564,2986,46.1981981981982
153,5550,2460,3090,44.32432432432433
154,5550,2562,2988,46.16216216216216
155,5550,2512,3038,45.26126126126126
156,5550,2588,2962,46.630630630630634
157,5550,2570,2980,46.306306306306304
158,5550,2533,3017,45.63963963963964
159,5550,2559,2991,46.10810810810811
160,5550,2523,3027,45.45945945945946
161,5550,2611,2939,47.04504504504505
162,5550,2515,3035,45.31531531531531
163,5550,2538,3012,45.729729729729726
164,5550,2562,2988,46.16216216216216
165,5550,2562,2988,46.16216216216216
166,5550,2579,2971,46.46846846846847
167,5550,2495,3055,44.95495495495496
168,5550,2561,2989,46.14414414414414
169,5550,2522,3028,45.44144144144144
170,5550,2552,2998,45.98198198198198
171,5550,2605,2945,46.93693693693694
172,5402,2496,2906,46.20510921880785
173,5550,2579,2971,46.46846846846847
174,5550,2553,2997,46.0
175,5402,2513,2889,46.51980747871159
176,5550,2490,3060,44.86486486486487
177,5550,2543,3007,45.81981981981982
178,5550,2516,3034,45.33333333333333
179,5550,2595,2955,46.75675675675676
180,5550,2523,3027,45.45945945945946
181,5550,2583,2967,46.54054054054054
182,5550,2562,2988,46.16216216216216
183,5550,2520,3030,45.40540540540541
184,5550,2556,2994,46.054054054054056
185,5550,2524,3026,45.47747747747748
186,5550,2543,3007,45.81981981981982
187,5550,2526,3024,45.513513513513516
188,5550,2568,2982,46.27027027027027
189,5550,2576,2974,46.41441441441441
190,5550,2499,3051,45.027027027027025
191,5550,2577,2973,46.43243243243243
192,5550,2596,2954,46.77477477477478
193,5550,2524,3026,45.47747747747748
194,5402,2476,2926,45.834875971862274
195,5550,2500,3050,45.04504504504504
196,5550,2501,3049,45.06306306306306
197,5402,2469,2933,45.705294335431326
198,5402,2497,2905,46.22362088115513
199,5550,2487,3063,44.81081081081081
200,5550,2606,2944,46.95495495495495
201,5550,2537,3013,45.711711711711715
202,5550,2547,3003,45.89189189189189
203,5550,2524,3026,45.47747747747748
204,5550,2530,3020,45.585585585585584
205,5550,2516,3034,45.33333333333333
206,5550,2552,2998,45.98198198198198
207,5550,2554,2996,46.01801801801802
208,5550,2512,3038,45.26126126126126
209,5550,2541,3009,45.78378378378378
210,5550,2539,3011,45.747747747747745
211,5550,2527,3023,45.531531531531535
212,5550,2518,3032,45.369369369369366
213,5550,2466,3084,44.432432432432435
214,5550,2540,3010,45.765765765765764
215,5550,2488,3062,44.828828828828826
216,5550,2599,2951,46.828828828828826
217,5550,2612,2938,47.06306306306306
218,5402,2481,2921,45.927434283598664
219,5550,2528,3022,45.54954954954955
220,5550,2658,2892,47.89189189189189
221,5550,2542,3008,45.8018018018018
222,5402,2507,2895,46.408737504627915
223,5550,2537,3013,45.711711711711715
224,5550,2492,3058,44.9009009009009
225,5550,2588,2962,46.630630630630634
226,5550,2527,3023,45.531531531531535
227,5550,2591,2959,46.68468468468468
228,5550,2505,3045,45.13513513513514
229,5550,2482,3068,44.72072072072072
230,5550,2537,3013,45.711711711711715
231,5550,2471,3079,44.52252252252252
232,5550,2585,2965,46.57657657657658
233,5550,2564,2986,46.1981981981982
234,5402,2480,2922,45.908922621251385
235,5550,2552,2998,45.98198198198198
236,5550,2547,3003,45.89189189189189
237,5550,2526,3024,45.513513513513516
238,5550,2601,2949,46.86486486486486
239,5550,2559,2991,46.10810810810811
240,5550,2575,2975,46.3963963963964
241,5550,2551,2999,45.96396396396397
242,5550,2550,3000,45.94594594594595
243,5550,2542,3008,45.8018018018018
244,5550,2538,3012,45.729729729729726
245,5550,2494,3056,44.93693693693694
246,5550,2555,2995,46.03603603603604
247,5550,2581,2969,46.50450450450451
248,5550,2475,3075,44.5945945945946
249,5550,2549,3001,45.92792792792793
250,5550,2512,3038,45.26126126126126
251,5550,2622,2928,47.24324324324324
252,5550,2571,2979,46.32432432432432
253,5550,2517,3033,45.35135135135135
254,5550,2602,2948,46.88288288288288
255,5550,2581,2969,46.50450450450451
256,5550,2530,3020,45.585585585585584
257,5550,2555,2995,46.03603603603604
258,5550,2528,3022,45.54954954954955
259,5550,2663,2887,47.98198198198198
260,5550,2634,2916,47.45945945945946
261,5550,2574,2976,46.37837837837838
262,5550,2532,3018,45.62162162162162
263,5550,2534,3016,45.65765765765766
264,5550,2612,2938,47.06306306306306
265,5550,2587,2963,46.612612612612615
266,5550,2576,2974,46.41441441441441
267,5550,2558,2992,46.090090090090094
268,5550,2551,2999,45.96396396396397
269,5550,2521,3029,45.42342342342343
270,5550,2517,3033,45.35135135135135
271,5550,2529,3021,45.567567567567565
272,5550,2558,2992,46.090090090090094
273,5550,2517,3033,45.35135135135135
274,5550,2547,3003,45.89189189189189
275,5550,2568,2982,46.27027027027027
276,5550,2591,2959,46.68468468468468
277,5550,2522,3028,45.44144144144144
278,5550,2557,2993,46.072072072072075
279,5550,2555,2995,46.03603603603604
280,5550,2516,3034,45.33333333333333
281,5550,2521,3029,45.42342342342343
282,5402,2482,2920,45.94594594594595
283,5550,2591,2959,46.68468468468468
284,5550,2571,2979,46.32432432432432
285,5550,2605,2945,46.93693693693694
286,5550,2623,2927,47.26126126126126
287,5550,2502,3048,45.08108108108108
288,5550,2567,2983,46.252252252252255
289,5402,2464,2938,45.61273602369493
290,5550,2534,3016,45.65765765765766
291,5402,2490,2912,46.09403924472418
292,5550,2517,3033,45.35135135135135
293,5550,2600,2950,46.846846846846844
294,5550,2581,2969,46.50450450450451
295,5550,2563,2987,46.18018018018018
296,5550,2558,2992,46.090090090090094
297,5550,2570,2980,46.306306306306304
298,5550,2567,2983,46.252252252252255
299,5550,2524,3026,45.47747747747748
300,5550,2561,2989,46.14414414414414
301,5550,2520,3030,45.40540540540541
302,5550,2485,3065,44.77477477477477
303,5550,2522,3028,45.44144144144144
304,5550,2526,3024,45.513513513513516
305,5550,2551,2999,45.96396396396397
306,5550,2545,3005,45.85585585585585
307,5550,2503,3047,45.0990990990991
308,5550,2602,2948,46.88288288288288
309,5550,2538,3012,45.729729729729726
310,5550,2588,2962,46.630630630630634
311,5550,2516,3034,45.33333333333333
312,5550,2508,3042,45.189189189189186
313,5550,2476,3074,44.612612612612615
314,5550,2520,3030,45.40540540540541
315,5550,2504,3046,45.11711711711712
316,5550,2541,3009,45.78378378378378
317,5550,2532,3018,45.62162162162162
318,5550,2566,2984,46.234234234234236
319,5550,2529,3021,45.567567567567565
320,5550,2491,3059,44.88288288288288
321,5550,2516,3034,45.33333333333333
322,5550,2547,3003,45.89189189189189
323,5550,2529,3021,45.567567567567565
324,5550,2557,2993,46.072072072072075
325,5550,2535,3015,45.67567567567568
326,5550,2482,3068,44.72072072072072
327,5550,2597,2953,46.792792792792795
328,5402,2476,2926,45.834875971862274
329,5402,2480,2922,45.908922621251385
330,5550,2491,3059,44.88288288288288
331,5550,2592,2958,46.7027027027027
332,5550,2564,2986,46.1981981981982
333,5550,2498,3052,45.00900900900901
334,5550,2551,2999,45.96396396396397
335,5550,2472,3078,44.54054054054054
336,5550,2552,2998,45.98198198198198
337,5402,2460,2942,45.53868937430581
338,5550,2574,2976,46.37837837837838
339,5550,2529,3021,45.567567567567565
340,5550,2510,3040,45.22522522522522
341,5550,2515,3035,45.31531531531531
342,5550,2488,3062,44.828828828828826
343,5550,2590,2960,46.666666666666664
344,5550,2493,3057,44.91891891891892
345,5402,2533,2869,46.89004072565716
346,5550,2583,2967,46.54054054054054
347,5550,2592,2958,46.7027027027027
348,5550,2534,3016,45.65765765765766
349,5550,2518,3032,45.369369369369366
350,5550,2552,2998,45.98198198198198
351,5550,2510,3040,45.22522522522522
352,5550,2533,3017,45.63963963963964
353,5550,2526,3024,45.513513513513516
354,5550,2510,3040,45.22522522522522
355,5550,2581,2969,46.50450450450451
356,5550,2542,3008,45.8018018018018
357,5550,2511,3039,45.24324324324324
358,5550,2572,2978,46.34234234234234
359,5550,2523,3027,45.45945945945946
360,5550,2540,3010,45.765765765765764
361,5550,2591,2959,46.68468468468468
362,5550,2543,3007,45.81981981981982
363,5550,2491,3059,44.88288288288288
364,5550,2575,2975,46.3963963963964
365,5550,2573,2977,46.36036036036036
366,5550,2549,3001,45.92792792792793
367,5402,2445,2957,45.261014439096634
368,5550,2517,3033,45.35135135135135
369,5550,2523,3027,45.45945945945946
370,5550,2524,3026,45.47747747747748
371,5550,2568,2982,46.27027027027027
372,5550,2537,3013,45.711711711711715
373,5550,2518,3032,45.369369369369366
374,5550,2635,2915,47.47747747747748
375,5550,2554,2996,46.01801801801802
376,5550,2517,3033,45.35135135135135
377,5550,2545,3005,45.85585585585585
378,5550,2456,3094,44.25225225225225
379,5550,2549,3001,45.92792792792793
380,5550,2496,3054,44.972972972972975
381,5550,2455,3095,44.23423423423423
382,5550,2536,3014,45.693693693693696
383,5550,2575,2975,46.3963963963964
384,5550,2605,2945,46.93693693693694
385,5550,2550,3000,45.94594594594595
386,5550,2526,3024,45.513513513513516
387,5550,2486,3064,44.79279279279279
388,5550,2555,2995,46.03603603603604
389,5550,2603,2947,46.9009009009009
390,5550,2564,2986,46.1981981981982
391,5550,2564,2986,46.1981981981982
392,5550,2526,3024,45.513513513513516
393,5402,2512,2890,46.501295816364305
394,5550,2577,2973,46.43243243243243
395,5550,2628,2922,47.35135135135135
396,5550,2484,3066,44.75675675675676
397,5402,2508,2894,46.427249166975194
398,5550,2545,3005,45.85585585585585
399,5550,2555,2995,46.03603603603604
400,5550,2559,2991,46.10810810810811
401,5550,2526,3024,45.513513513513516
402,5550,2486,3064,44.79279279279279
403,5550,2534,3016,45.65765765765766
404,5550,2522,3028,45.44144144144144
405,5550,2513,3037,45.27927927927928
406,5550,2531,3019,45.6036036036036
407,5550,2549,3001,45.92792792792793
408,5550,2530,3020,45.585585585585584
409,5550,2524,3026,45.47747747747748
410,5550,2474,3076,44.57657657657658
411,5550,2514,3036,45.2972972972973
412,5402,2486,2916,46.01999259533506
413,5402,2492,2910,46.13106256941874
414,5550,2555,2995,46.03603603603604
415,5550,2584,2966,46.55855855855856
416,5550,2555,2995,46.03603603603604
417,5550,2547,3003,45.89189189189189
418,5550,2578,2972,46.45045045045045
419,5550,2527,3023,45.531531531531535
420,5550,2539,3011,45.747747747747745
421,5550,2599,2951,46.828828828828826
422,5550,2543,3007,45.81981981981982
423,5402,2503,2899,46.334690855238804
424,5550,2532,3018,45.62162162162162
425,5550,2556,2994,46.054054054054056
426,5550,2534,3016,45.65765765765766
427,5550,2600,2950,46.846846846846844
428,5550,2539,3011,45.747747747747745
429,5550,2553,2997,46.0
430,5550,2554,2996,46.01801801801802
431,5550,2519,3031,45.38738738738739
432,5550,2512,3038,45.26126126126126
433,5550,2522,3028,45.44144144144144
434,5550,2521,3029,45.42342342342343
435,5550,2572,2978,46.34234234234234
436,5550,2525,3025,45.4954954954955
437,5550,2510,3040,45.22522522522522
438,5402,2521,2881,46.66790077748982
439,5550,2520,3030,45.40540540540541
440,5550,2571,2979,46.32432432432432
441,5550,2455,3095,44.23423423423423
442,5550,2551,2999,45.96396396396397
443,5550,2549,3001,45.92792792792793
444,5550,2483,3067,44.73873873873874
445,5550,2534,3016,45.65765765765766
446,5550,2611,2939,47.04504504504505
447,5550,2535,3015,45.67567567567568
448,5550,2566,2984,46.234234234234236
449,5550,2563,2987,46.18018018018018
